name,latitude,longitude,#
بتروماك,22.54385,39.6063,485
مطعم جلمودة,24.90684,46.38611,486
محطة ميسان,21.39688,40.44929,487
محطة جاري,19.89443,42.58676,488
محطة عاجل للوقود وخدمات السيارات,19.87217,42.61782,489
محطة قلف,20.61869,41.29021,490
محطة الوفاء للخدمات البترولية,21.19893,40.60171,491
Zasco,21.3579,40.42093,492
محطة الشهيب,21.23953,40.52656,493
محطة الروسان طريق عذفاء,29.6541,40.85419,494
محطة جبرا للمواد البترولية,21.30267,40.4321,495
محطة الأمانة,21.27381,40.44737,496
محطة المثلث,26.82146,38.93104,497
محطة روز ماكس للمواد البتروليه,22.19056,39.69921,498
Benzol maaredh,21.25393,40.44861,499
محطة محروقات وج,21.26265,40.40071,500
محطة البهجة,21.26301,40.3974,501
الدريس,21.2352,40.41063,502
محطة بنزين,21.2231504964614,40.3896360890421,503
محطة عاصفة الحزم,21.22318,40.38965,504
محطة الجمعية,23.11125,39.07441,505
محطة التقوى,19.62881,42.72598,506
محطة العيدروس,21.35465,40.19673,507
محطة راضى للمحروقات,23.78226,38.7995,508
محطة بن عليثه,23.7781,38.79758,509
محطة بدر الشهداء للخدمات البترولية,23.77664,38.79663,510
ساسكو,21.49477,40.01022,511
محطة طيبة,21.56664,39.949,512
وقود ديزل,22.4132,39.35262,513
الدريس,19.32544,43.46968,514
محطة القمة,21.55523,39.94619,515
ساسكو,21.35579,40.11514,516
محطة سهل,23.81628,38.73977,517
محطة السرح للوقود والديزل,21.4681328107875,40.0007036424156,518
محطة الراشدية,21.46808,40.00072,519
مركز خدمات محطة بترولايز,21.4567,40.00498,520
محطة سهل طريق الجعرانة,21.49875,39.96545,521
Petrol Station,21.48803,39.95648,522
الدريس,21.48712,39.95053,523
محطة بنزين الكتيب,27.46777,38.90147,524
محطة أبو فارع الشفا,21.07955,40.31453,525
محطة الوسام,22.80347,39.06636,526
محطة سما الشرق للخدمات البترولية,22.80207,39.05462,527
محطة بن مخفور,19.44684,42.82545,528
محطة وادي قديد,22.33051,39.30351,529
Hotel,24.93062,46.99727,530
محطة العوفي,21.46961,39.90501,531
ساسكو محطة العريشي,21.32728,40.02736,532
محطة المعيصم,21.46535,39.90149,533
محطة الجواد,22.79772,39.03361,534
محطة الجوهرة,22.11394,39.41729,535
محطة فيولكس ( مستورة / رابغ ),23.19544,38.85381,536
مسجد المحطه,22.77365,39.03696,537
محطة وقود الدريس|ALDREES,22.4565,39.19108,538
محطة الخير بنزين,21.45604,39.87914,539
محطه قاره الحيران,27.24952,38.72565,540
محطة نفط,21.5764773631428,39.7698017043829,541
محطة بترولي,"21.58125181164453,",39.7615742240206,542
محطة الدريس,21.57406,39.76656,543
محطة الصولي,21.44378,39.85972,544
محطة مستورة,23.1152,38.84318,545
البداية نفط,21.45349,39.8464,546
محطة وادي بشم,21.48489,39.82007,547
محطة 5M,21.46735,39.82617,548
الدريس,21.49876,39.79391,549
محطة الدريس,21.3595,39.90752,550
محطة الدريس للوقود,21.51097,39.78016,551
محطة الدريس,21.65574,39.66729,552
شركة الحناس للتجاره,20.01898,41.46972,553
الجموم,21.61494,39.69252,554
محطة ذيزل شاحنات,20.03038,41.44879,555
محطة محروقات الشقيق,29.29845,39.93179,556
محطة النقابة للوقود,21.62492,39.67909,557
الدريس,21.47885,39.79483,558
محطة ديزل,20.00812,41.47673,559
محطة الساطي للمشتقات البترولية,22.17881,39.28857,560
محطة وقود,19.35823,42.80273,561
AlAbied Petrol Station,29.80241,40.43984,562
محطة الجمعية للخدمات البترولية,22.12502,39.30698,563
محطة وقود,19.34705,42.80415,564
محطة السرور,21.38925,39.84692,565
2443 طريق مكة جدة القديم,21.43157,39.80846,566
محطة بنزين وديزل سهل,21.3836,39.83317,567
محطه الراية الحمراء,21.29559,39.90741,568
محطة البيضاء للوقود,19.83033,41.70905,569
محطة النصر,21.40264,39.80934,570
الدريس,21.44791,39.76335,571
الدريس,21.43867,39.7694,572
محطة ملكان,21.20544,39.97006,573
محطة آل غرامة للمحروقات,19.89374,41.57533,574
محطة ناصر,21.23114,39.94398,575
محطة بترولاند,21.96905,39.36283,576
محطه امداد الخليج الكعكيه,21.3793,39.80657,577
محطة التيسير,21.37918,39.80367,578
الدريس,21.36335,39.80338,579
بترو الجار الله,19.27183,42.8613,580
محطة مزهرة للمحروقات,18.8647392719968,45.1087021865917,581
بترو إرم,18.8647,45.10867,582
محطة سلطانة ومؤسسة محمد عبدالله مرضاح,18.86218,45.1103,583
محطة فيول,21.38118,39.77846,584
محطة بنزين جديدة,21.37753,39.76469,585
محطة جامعة الملك عبدالله,22.31528,39.10633,586
محطة ثول,22.28817,39.11377,587
محطة الوصل,21.91372,39.34976,588
محطة التميز للمحروقات,21.28875,39.82211,589
محطة وقود الدريس,21.89794,39.35035,590
محطة ساسكو طريق مكة جدة السريع,21.39077,39.70611,591
SASCO,21.24135,39.82646,592
محطة نسوب,21.13068,39.9218,593
محطة الجزيرة,22.20442,39.1167,594
محطة ساسكو,19.58726,41.88944,595
الدريس,21.46415,39.56483,596
محطة وقود المتعب,27.53378,38.56928,597
محطة الفهمي,21.05662,39.91125,598
محطه الامانه,21.30895,39.6882,599
محطة وقود الربيعة,27.55321,38.56686,600
محطة الدريس,21.8756,39.24001,601
محطة فيولكس,21.33147,39.63004,602
محطة الشنيفي,27.59766,38.56003,603
محطة المروة,21.44152,39.53432,604
محطة الطلق للمحروقات رقم 2,27.61097,38.5572,605
وقود ديزل,21.32372,39.62016,606
محطة الطلق للمحروقات 3,27.61196,38.5388,607
محطة الطلق رقم ١,27.62662,38.52757,608
محطة ابوفهد الفروسية,21.81581,39.21573,609
NAFT,21.93942,39.12783,610
محطة لؤلؤة الجوف,29.960687229278,40.2220952025364,611
Sahel Petrol Station,29.96074,40.22214,612
